date,home_team,away_team,odds_away,odds_draw,odds_home
2026-06-11,South Korea,Czech Republic,2.73,2.8,4.55
2026-06-11,Mexico,South Africa,12.23,3.19,1.82
2026-06-12,Canada,Bosnia and Herzegovina,5.14,3.08,2.36
2026-06-12,United States,Paraguay,2.93,2.79,4.11
2026-06-13,Qatar,Switzerland,1.38,5.6,26.3
2026-06-13,Brazil,Morocco,3.72,2.88,3.06
2026-06-13,Haiti,Scotland,1.83,3.48,9.08
2026-06-13,Australia,Turkey,2.2,2.99,6.45
2026-06-14,Germany,Curaçao,9.75,4.78,1.58
2026-06-14,Ivory Coast,Ecuador,1.89,3.34,8.69
2026-06-14,Netherlands,Japan,2.88,2.92,3.95
2026-06-14,Sweden,Tunisia,3.15,2.78,3.75
2026-06-15,Belgium,Egypt,5.53,3.01,2.33
2026-06-15,Iran,New Zealand,5.77,3.22,2.18
2026-06-15,Spain,Cape Verde,192.73,15.23,1.15
2026-06-15,Saudi Arabia,Uruguay,1.66,3.79,12.86
2026-06-16,Argentina,Algeria,7.26,3.39,1.96
2026-06-16,Austria,Jordan,4.8,2.81,2.64
2026-06-16,France,Senegal,4.93,2.78,2.63
2026-06-16,Iraq,Norway,1.56,4.11,17.35
2026-06-17,Portugal,DR Congo,6.34,3.1,2.16
2026-06-17,Uzbekistan,Colombia,1.68,3.63,13.54
2026-06-17,England,Croatia,4.05,2.88,2.86
2026-06-17,Ghana,Panama,2.05,3.01,8.13
2026-06-18,Czech Republic,South Africa,4.05,2.73,3.03
2026-06-18,Mexico,South Korea,4.53,2.78,2.76
2026-06-18,Switzerland,Bosnia and Herzegovina,5.4,3.08,2.31
2026-06-18,Canada,Qatar,14.15,3.92,1.62
2026-06-19,Turkey,Paraguay,2.51,2.78,5.36
2026-06-19,United States,Australia,2.62,3.05,4.27
2026-06-19,Scotland,Morocco,2.08,3.02,7.62
2026-06-19,Brazil,Haiti,5.79,3.58,2.03
2026-06-20,Germany,Ivory Coast,4.34,2.94,2.68
2026-06-20,Ecuador,Curaçao,13.04,4.82,1.52
2026-06-20,Netherlands,Sweden,4.34,2.96,2.67
2026-06-20,Tunisia,Japan,1.89,3.2,9.84
2026-06-21,Belgium,Iran,3.15,2.97,3.46
2026-06-21,New Zealand,Egypt,3.16,2.83,3.66
2026-06-21,Spain,Saudi Arabia,15.14,4.94,1.48
2026-06-21,Uruguay,Cape Verde,6.92,3.53,1.94
2026-06-22,Jordan,Algeria,2.86,2.56,4.93
2026-06-22,Argentina,Austria,6.11,3.35,2.08
2026-06-22,Norway,Senegal,3.1,2.7,3.99
2026-06-22,France,Iraq,12.6,3.81,1.66
2026-06-23,Portugal,Uzbekistan,5.16,3.28,2.25
2026-06-23,Colombia,DR Congo,5.36,2.93,2.41
2026-06-23,England,Ghana,17.64,4.02,1.57
2026-06-23,Panama,Croatia,2.09,3.1,7.0
2026-06-24,Scotland,Brazil,1.68,3.67,13.42
2026-06-24,Mexico,Czech Republic,4.76,2.93,2.55
2026-06-24,South Africa,South Korea,1.93,3.19,8.88
2026-06-24,Canada,Switzerland,2.96,2.77,4.08
2026-06-24,Bosnia and Herzegovina,Qatar,3.35,2.81,3.45
2026-06-24,Morocco,Haiti,5.42,3.36,2.17
2026-06-25,Tunisia,Netherlands,1.9,3.17,9.72
2026-06-25,Japan,Sweden,4.36,2.97,2.65
2026-06-25,Ecuador,Germany,3.24,3.04,3.27
2026-06-25,United States,Turkey,2.27,2.92,6.21
2026-06-25,Paraguay,Australia,3.07,2.8,3.84
2026-06-25,Curaçao,Ivory Coast,1.81,3.36,10.72
2026-06-26,Uruguay,Spain,1.73,3.58,11.75
2026-06-26,Cape Verde,Saudi Arabia,2.49,2.99,4.84
2026-06-26,Norway,France,1.98,3.19,8.08
2026-06-26,Egypt,Iran,3.0,2.8,3.96
2026-06-26,New Zealand,Belgium,1.66,3.82,12.77
2026-06-26,Senegal,Iraq,4.59,2.61,2.92
2026-06-27,DR Congo,Uzbekistan,2.56,2.96,4.65
2026-06-27,Colombia,Portugal,2.32,2.95,5.8
2026-06-27,Panama,England,1.89,3.25,9.5
2026-06-27,Algeria,Austria,3.02,2.79,3.95
2026-06-27,Jordan,Argentina,1.48,4.52,20.66
2026-06-27,Croatia,Ghana,8.02,3.32,1.93
